window,channel,mean,std,min,max,%flat,%saturated,flag
middle,RIA13-RIA14,3e-07,4.974e-05,-0.00020815,0.00050059,0.0,0.0,ok
middle,RIA14-RIA15,2.2e-07,1.087e-05,-5.602e-05,4.416e-05,0.0,0.0,ok
middle,RM1-RM2,-2.5e-07,5.962e-05,-0.00022867,0.00021991,0.0,0.0,ok
middle,RM2-RM3,2.2e-07,4.515e-05,-0.00015926,0.00017048,0.0,0.0,ok
middle,RM3-RM4,-3e-08,2.148e-05,-8.245e-05,9.577e-05,0.0,0.0,ok
middle,RM4-RM5,1.2e-07,1.747e-05,-6.852e-05,8.012e-05,0.0,0.0,ok
middle,RM5-RM6,-2.9e-07,4.666e-05,-0.00014799,0.00015943,0.0,0.0,ok
middle,RM6-RM7,1.48e-05,0.00154762,-0.01325347,0.01120669,0.0,0.0,ok
middle,RM7-RM8,-1.483e-05,0.00154771,-0.01119658,0.01325082,0.0,0.0,ok
middle,LPX1-LPX2,1.1e-07,9.18e-06,-3.427e-05,3.256e-05,0.0,0.0,ok
middle,LPX2-LPX3,-0.0,6.04e-06,-2.088e-05,1.984e-05,0.0,0.0,ok
middle,LPX3-LPX4,-3e-08,4.94e-06,-1.744e-05,1.939e-05,0.0,0.0,ok
middle,LPX4-LPX5,-2e-08,5.06e-06,-1.539e-05,1.86e-05,0.0,0.0,ok
middle,LPX5-LPX6,-1e-08,6.36e-06,-2.017e-05,2.4e-05,0.0,0.0,ok
middle,LPX6-LPX7,6e-08,9.2e-06,-3.551e-05,3.581e-05,0.0,0.0,ok
middle,LPX7-LPX8,2e-07,2.16e-05,-8.583e-05,7.73e-05,0.0,0.0,ok
middle,LPX8-LPX9,2.5e-07,2.861e-05,-0.00010748,0.00012345,0.0,0.0,ok
middle,LPX9-LPX10,5e-08,1.542e-05,-5.832e-05,5.028e-05,0.0,0.0,ok
middle,LPX10-LPX11,-1.1e-07,6.38e-06,-2.975e-05,2.385e-05,0.0,0.0,ok
middle,LPX11-LPX12,-3e-08,5.05e-06,-2.423e-05,2.044e-05,0.0,0.0,ok
middle,LTS1-LTS2,2e-08,1.111e-05,-5.792e-05,9.278e-05,0.0,0.0,ok
middle,LTS2-LTS3,6e-08,1.506e-05,-0.00010528,5.878e-05,0.0,0.0,ok
middle,LTS3-LTS4,9e-08,2.476e-05,-0.00011384,0.00015387,0.0,0.0,ok
middle,LTS4-LTS5,-5e-08,4.156e-05,-0.0001622,0.00019125,0.0,0.0,ok
middle,LTS5-LTS6,-1.1e-07,2.638e-05,-0.00014909,0.00011925,0.0,0.0,ok
middle,LTS6-LTS7,3.9e-07,3.666e-05,-0.00014767,0.00020086,0.0,0.0,ok
middle,LTS7-LTS8,-1e-08,1.064e-05,-4.805e-05,4.705e-05,0.0,0.0,ok
middle,LFO1-LFO2,9e-08,1.089e-05,-7.887e-05,3.71e-05,0.0,0.0,ok
middle,LFO2-LFO3,5e-08,2.293e-05,-0.00018273,0.00013195,0.0,0.0,ok
middle,LFO3-LFO4,-2.2e-07,2.475e-05,-0.00010125,0.00013864,0.0,0.0,ok
middle,LFO4-LFO5,6e-08,1.858e-05,-6.446e-05,0.00012302,0.0,0.0,ok
middle,LFO5-LFO6,1.1e-07,1.463e-05,-5.163e-05,6.183e-05,0.0,0.0,ok
middle,LFO6-LFO7,6e-08,1.922e-05,-6.155e-05,7.99e-05,0.0,0.0,ok
middle,LFO7-LFO8,7e-08,5.812e-05,-0.0001899,0.00021474,0.0,0.0,ok
middle,LTM1-LTM2,-5e-08,1.794e-05,-9.476e-05,7.82e-05,0.0,0.0,ok
middle,LTM2-LTM3,-4e-08,2.321e-05,-0.00013848,0.00010118,0.0,0.0,ok
middle,LTM3-LTM4,1.3e-07,4.237e-05,-0.00024917,0.00019426,0.0,0.0,ok
middle,LTM4-LTM5,5.4e-07,6.699e-05,-0.00025765,0.00039722,0.0,0.0,ok
middle,LTM5-LTM6,-1.9e-07,2.929e-05,-0.00022298,0.00015714,0.0,0.0,ok
middle,LTM6-LTM7,2e-08,1.695e-05,-0.00015162,0.00024664,0.0,0.0,ok
middle,LTM7-LTM8,-4e-08,8.98e-06,-6.196e-05,4.082e-05,0.0,0.0,ok
