window,channel,mean,std,min,max,%flat,%saturated,flag
start,RM1-RM2,1e-08,8.783e-05,-0.00029791,0.00046968,0.0,0.0,ok
start,RM2-RM3,-6e-08,6.399e-05,-0.00040336,0.00026844,0.0,0.0,ok
start,RM3-RM4,-0.0,2.786e-05,-0.00010567,0.00012225,0.0,0.0,ok
start,RM4-RM5,-9e-08,2.674e-05,-0.00011475,0.0001608,0.0,0.0,ok
start,RM5-RM6,2.4e-07,5.704e-05,-0.00026561,0.00032393,0.0,0.0,ok
start,RM6-RM7,-1e-08,3.76e-06,-1.445e-05,1.466e-05,0.0,0.0,ok
start,RM7-RM8,-8e-08,4.56e-06,-1.573e-05,1.443e-05,0.0,0.0,ok
start,LPX1-LPX2,1.3e-07,1.463e-05,-6.471e-05,6.423e-05,0.0,0.0,ok
start,LPX2-LPX3,0.0,1.149e-05,-7.829e-05,5.598e-05,0.0,0.0,ok
start,LPX3-LPX4,-7e-08,8.55e-06,-5.109e-05,4.098e-05,0.0,0.0,ok
start,LPX4-LPX5,-6e-08,7.84e-06,-5.537e-05,4.259e-05,0.0,0.0,ok
start,LPX5-LPX6,-1e-07,9.07e-06,-5.349e-05,5.383e-05,0.0,0.0,ok
start,LPX6-LPX7,-6e-08,1.279e-05,-6.229e-05,8.828e-05,0.0,0.0,ok
start,LPX7-LPX8,-1.6e-07,3.302e-05,-0.00018618,0.00018831,0.0,0.0,ok
start,LPX8-LPX9,-2.2e-07,5.68e-05,-0.00039402,0.00042298,0.0,0.0,ok
start,LPX9-LPX10,-6e-08,2.625e-05,-0.00014817,0.00016628,0.0,0.0,ok
start,LPX10-LPX11,3e-08,9.25e-06,-6.336e-05,5.227e-05,0.0,0.0,ok
start,LPX11-LPX12,4e-08,8.22e-06,-5.263e-05,4.434e-05,0.0,0.0,ok
start,LTS1-LTS2,2e-08,1.182e-05,-5.8e-05,9.857e-05,0.0,0.0,ok
start,LTS2-LTS3,2e-08,1.862e-05,-0.00012036,6.838e-05,0.0,0.0,ok
start,LTS3-LTS4,-1.7e-07,3.259e-05,-0.00011958,0.00015968,0.0,0.0,ok
start,LTS4-LTS5,-1e-08,4.917e-05,-0.00021431,0.00021939,0.0,0.0,ok
start,LTS5-LTS6,-1.5e-07,3.861e-05,-0.00028906,0.00021088,0.0,0.0,ok
start,LTS6-LTS7,1.7e-07,5.853e-05,-0.0002537,0.00035949,0.0,0.0,ok
start,LTS7-LTS8,1e-08,1.333e-05,-8.485e-05,5.116e-05,0.0,0.0,ok
start,LFO1-LFO2,8e-08,1.26e-05,-0.00011101,4.65e-05,0.0,0.0,ok
start,LFO2-LFO3,2.4e-07,2.767e-05,-0.00015731,0.00010838,0.0,0.0,ok
start,LFO3-LFO4,-2e-07,2.796e-05,-0.0001739,0.00015676,0.0,0.0,ok
start,LFO4-LFO5,-1.5e-07,2.554e-05,-9.694e-05,0.00018573,0.0,0.0,ok
start,LFO5-LFO6,-9e-08,1.739e-05,-6.679e-05,8.598e-05,0.0,0.0,ok
start,LFO6-LFO7,-9e-08,2.272e-05,-0.000114,0.00010807,0.0,0.0,ok
start,LFO7-LFO8,5e-08,8.44e-05,-0.00034502,0.00037733,0.0,0.0,ok
start,LTM1-LTM2,6e-08,1.424e-05,-8.794e-05,8.553e-05,0.0,0.0,ok
start,LTM2-LTM3,7e-08,2.004e-05,-8.671e-05,8.46e-05,0.0,0.0,ok
start,LTM3-LTM4,-1e-07,2.967e-05,-0.00018387,0.00019721,0.0,0.0,ok
start,LTM4-LTM5,-2e-08,5.259e-05,-0.00023521,0.00034713,0.0,0.0,ok
start,LTM5-LTM6,-1e-07,3.64e-05,-0.00030306,0.00025244,0.0,0.0,ok
start,LTM6-LTM7,2e-08,2.697e-05,-0.00020373,0.00031599,0.0,0.0,ok
start,LTM7-LTM8,-2e-08,1.085e-05,-8.83e-05,6.625e-05,0.0,0.0,ok
